,No,Japanese,English,German,French,Korean,Simplified Chinese,Traditional Chinese,Generation,Form,H,A,B,C,D,S,Ability1,Ability2,Ability3,Type1,Type2,Weight,Evolve Flag,GalarPokedex,PaldeaPokedex
629,526,ギガイアス,Gigalith,Brockoloss,Gigalithe,기가이어스,庞岩怪,龐岩怪,5,-,85.0,135.0,130.0,60.0,80.0,25.0,がんじょう,すなおこし,すなのちから,いわ,-,260.0,1,1,0
630,527,コロモリ,Woobat,Fleknoil,Chovsourir,또르박쥐,滚滚蝙蝠,滾滾蝙蝠,5,-,65.0,45.0,43.0,55.0,43.0,72.0,てんねん,ぶきよう,たんじゅん,エスパー,ひこう,2.1,0,1,0
631,528,ココロモリ,Swoobat,Fletiamo,Rhinolove,맘박쥐,心蝙蝠,心蝙蝠,5,-,67.0,57.0,55.0,77.0,55.0,114.0,てんねん,ぶきよう,たんじゅん,エスパー,ひこう,10.5,1,1,0
632,529,モグリュー,Drilbur,Rotomurf,Rototaupe,두더류,螺钉地鼠,螺釘地鼠,5,-,60.0,85.0,40.0,30.0,45.0,68.0,すなかき,すなのちから,かたやぶり,じめん,-,8.5,0,1,0
633,530,ドリュウズ,Excadrill,Stalobor,Minotaupe,몰드류,龙头地鼠,龍頭地鼠,5,-,110.0,135.0,60.0,50.0,65.0,88.0,すなかき,すなのちから,かたやぶり,じめん,はがね,40.4,1,1,0
634,531,タブンネ,Audino,Ohrdoch,Nanméouïe,다부니,差不多娃娃,差不多娃娃,5,-,103.0,60.0,86.0,60.0,86.0,50.0,いやしのこころ,さいせいりょく,ぶきよう,ノーマル,-,31.0,1,1,0
635,531,メガタブンネ,Audino,Ohrdoch,Nanméouïe,다부니,差不多娃娃,差不多娃娃,6,メガシンカ,103.0,60.0,126.0,80.0,126.0,50.0,いやしのこころ,-,-,ノーマル,フェアリー,32.0,1,0,0
636,532,ドッコラー,Timburr,Praktibalk,Charpenti,으랏차,搬运小匠,搬運小匠,5,-,75.0,80.0,55.0,25.0,35.0,35.0,こんじょう,ちからずく,てつのこぶし,かくとう,-,12.5,0,1,0
637,533,ドテッコツ,Gurdurr,Strepoli,Ouvrifier,토쇠골,铁骨土人,鐵骨土人,5,-,85.0,105.0,85.0,40.0,50.0,40.0,こんじょう,ちからずく,てつのこぶし,かくとう,-,40.0,0,1,0
638,534,ローブシン,Conkeldurr,Meistagrif,Bétochef,노보청,修建老匠,修建老匠,5,-,105.0,140.0,95.0,55.0,65.0,45.0,こんじょう,ちからずく,てつのこぶし,かくとう,-,87.0,1,1,0
639,535,オタマロ,Tympole,Schallquap,Tritonde,동챙이,圆蝌蚪,圓蝌蚪,5,-,50.0,50.0,40.0,50.0,40.0,64.0,すいすい,-,ちょすい,みず,-,4.5,0,1,0
640,536,ガマガル,Palpitoad,Mebrana,Batracné,두까비,蓝蟾蜍,藍蟾蜍,5,-,75.0,65.0,55.0,65.0,55.0,69.0,すいすい,-,ちょすい,みず,じめん,17.0,0,1,0
641,537,ガマゲロゲ,Seismitoad,Branawarz,Crapustule,두빅굴,蟾蜍王,蟾蜍王,5,-,105.0,95.0,75.0,85.0,75.0,74.0,すいすい,どくしゅ,ちょすい,みず,じめん,62.0,1,1,0
642,538,ナゲキ,Throh,Jiutesto,Judokrak,던지미,投摔鬼,投摔鬼,5,-,120.0,100.0,85.0,30.0,85.0,45.0,こんじょう,せいしんりょく,かたやぶり,かくとう,-,55.5,1,1,0
643,539,ダゲキ,Sawk,Karadonis,Karaclée,타격귀,打击鬼,打擊鬼,5,-,75.0,125.0,75.0,30.0,75.0,85.0,がんじょう,せいしんりょく,かたやぶり,かくとう,-,51.0,1,1,0
644,540,クルミル,Sewaddle,Strawickl,Larveyette,두르보,虫宝包,蟲寶包,5,-,45.0,53.0,70.0,40.0,60.0,42.0,むしのしらせ,ようりょくそ,ぼうじん,むし,くさ,2.5,0,0,0
645,541,クルマユ,Swadloon,Folikon,Couverdure,두르쿤,宝包茧,寶包繭,5,-,55.0,63.0,90.0,50.0,80.0,42.0,リーフガード,ようりょくそ,ぼうじん,むし,くさ,7.3,0,0,0
646,542,ハハコモリ,Leavanny,Matrifol,Manternel,모아머,保姆虫,保母蟲,5,-,75.0,103.0,80.0,70.0,80.0,92.0,むしのしらせ,ようりょくそ,ぼうじん,むし,くさ,20.5,1,0,0
647,543,フシデ,Venipede,Toxiped,Venipatte,마디네,百足蜈蚣,百足蜈蚣,5,-,30.0,45.0,59.0,30.0,39.0,57.0,どくのトゲ,むしのしらせ,かそく,むし,どく,5.3,0,1,0
648,544,ホイーガ,Whirlipede,Rollum,Scobolide,휠구,车轮球,車輪毬,5,-,40.0,55.0,99.0,40.0,79.0,47.0,どくのトゲ,むしのしらせ,かそく,むし,どく,58.5,0,1,0
649,545,ペンドラー,Scolipede,Cerapendra,Brutapode,펜드라,蜈蚣王,蜈蚣王,5,-,60.0,100.0,89.0,55.0,69.0,112.0,どくのトゲ,むしのしらせ,かそく,むし,どく,200.5,1,1,0
650,546,モンメン,Cottonee,Waumboll,Doudouvet,소미안,木棉球,木棉球,5,-,40.0,27.0,60.0,37.0,50.0,66.0,いたずらごころ,すりぬけ,ようりょくそ,くさ,フェアリー,0.6,0,1,0
651,547,エルフーン,Whimsicott,Elfun,Farfaduvet,엘풍,风妖精,風妖精,5,-,60.0,67.0,85.0,77.0,75.0,116.0,いたずらごころ,すりぬけ,ようりょくそ,くさ,フェアリー,6.6,1,1,0
652,548,チュリネ,Petilil,Lilminip,Chlorobule,치릴리,百合根娃娃,百合根娃娃,5,-,45.0,35.0,50.0,70.0,50.0,30.0,ようりょくそ,マイペース,リーフガード,くさ,-,6.6,0,1,1
653,549,ドレディア,Lilligant,Dressella,Fragilady,드레디어,裙儿小姐,裙兒小姐,5,-,70.0,60.0,75.0,110.0,75.0,90.0,ようりょくそ,マイペース,リーフガード,くさ,-,16.3,1,1,1
654,549,ドレディア,Lilligant,Dressella,Fragilady,드레디어,裙儿小姐,裙兒小姐,9,ヒスイのすがた,70.0,105.0,75.0,50.0,75.0,105.0,ようりょくそ,はりきり,リーフガード,くさ,かくとう,19.2,1,0,1
655,550,バスラオ,Basculin,Barschuft,Bargantua,배쓰나이,野蛮鲈鱼,野蠻鱸魚,5,-,70.0,92.0,65.0,80.0,55.0,98.0,すてみ,てきおうりょく,かたやぶり,みず,-,18.0,1,1,1
656,550,バスラオ,Basculin,Barschuft,Bargantua,배쓰나이,野蛮鲈鱼,野蠻鱸魚,5,-,70.0,92.0,65.0,80.0,55.0,98.0,びびり,てきおうりょく,かたやぶり,みず,-,18.0,1,1,1
657,551,メグロコ,Sandile,Ganovil,Mascaïman,깜눈크,黑眼鳄,黑眼鱷,5,-,50.0,72.0,35.0,35.0,35.0,65.0,いかく,じしんかじょう,いかりのつぼ,じめん,あく,15.2,0,1,1
658,552,ワルビル,Krokorok,Rokkaiman,Escroco,악비르,混混鳄,混混鱷,5,-,60.0,82.0,45.0,45.0,45.0,74.0,いかく,じしんかじょう,いかりのつぼ,じめん,あく,33.4,0,1,1
659,553,ワルビアル,Krookodile,Rabigator,Crocorible,악비아르,流氓鳄,流氓鱷,5,-,95.0,117.0,80.0,65.0,70.0,92.0,いかく,じしんかじょう,いかりのつぼ,じめん,あく,96.3,1,1,1
660,554,ダルマッカ,Darumaka,Flampion,Darumarond,달막화,火红不倒翁,火紅不倒翁,5,-,70.0,90.0,45.0,15.0,45.0,50.0,はりきり,せいしんりょく,-,ほのお,-,37.5,0,1,0
661,554,ダルマッカ,Darumaka,Flampion,Darumarond,달막화,火红不倒翁,火紅不倒翁,8,ガラルのすがた,70.0,90.0,45.0,15.0,45.0,50.0,はりきり,せいしんりょく,-,こおり,-,40.0,0,1,0
662,555,ヒヒダルマ,Darmanitan,Flampivian,Darumacho,불비달마,达摩狒狒,達摩狒狒,5,-,105.0,140.0,55.0,30.0,55.0,95.0,ちからずく,ダルマモード,ダルマモード,ほのお,-,92.9,1,1,0
663,555,ヒヒダルマ,Darmanitan,Flampivian,Darumacho,불비달마,达摩狒狒,達摩狒狒,5,ダルマモード,105.0,30.0,105.0,140.0,105.0,55.0,ちからずく,ダルマモード,ダルマモード,ほのお,エスパー,92.9,1,1,0
664,555,ヒヒダルマ,Darmanitan,Flampivian,Darumacho,불비달마,达摩狒狒,達摩狒狒,8,ガラルのすがた,105.0,140.0,55.0,30.0,55.0,95.0,ごりむちゅう,-,ダルマモード,こおり,-,120.0,1,1,0
665,555,ヒヒダルマ,Darmanitan,Flampivian,Darumacho,불비달마,达摩狒狒,達摩狒狒,8,ダルマ・ガラル,105.0,160.0,55.0,30.0,55.0,135.0,ごりむちゅう,-,ダルマモード,こおり,ほのお,120.0,1,1,0
666,556,マラカッチ,Maractus,Maracamba,Maracachi,마라카치,沙铃仙人掌,沙鈴仙人掌,5,-,75.0,86.0,67.0,106.0,67.0,60.0,ちょすい,ようりょくそ,よびみず,くさ,-,28.0,1,1,0
667,557,イシズマイ,Dwebble,Lithomith,Crabicoque,돌살이,石居蟹,石居蟹,5,-,50.0,65.0,85.0,35.0,35.0,55.0,がんじょう,シェルアーマー,くだけるよろい,むし,いわ,14.5,0,1,0
668,558,イワパレス,Crustle,Castellith,Crabaraque,암팰리스,岩殿居蟹,岩殿居蟹,5,-,70.0,105.0,125.0,65.0,75.0,45.0,がんじょう,シェルアーマー,くだけるよろい,むし,いわ,200.0,1,1,0
669,559,ズルッグ,Scraggy,Zurrokex,Baggiguane,곤율랭,滑滑小子,滑滑小子,5,-,50.0,75.0,70.0,35.0,70.0,48.0,だっぴ,じしんかじょう,いかく,あく,かくとう,11.8,0,1,0
670,560,ズルズキン,Scrafty,Irokex,Baggaïd,곤율거니,头巾混混,頭巾混混,5,-,65.0,90.0,115.0,45.0,115.0,58.0,だっぴ,じしんかじょう,いかく,あく,かくとう,30.0,1,1,0
671,561,シンボラー,Sigilyph,Symvolara,Cryptéro,심보러,象征鸟,象徵鳥,5,-,72.0,58.0,80.0,103.0,80.0,97.0,ミラクルスキン,マジックガード,いろめがね,エスパー,ひこう,14.0,1,1,0
672,562,デスマス,Yamask,Makabaja,Tutafeh,데스마스,哭哭面具,哭哭面具,5,-,38.0,30.0,85.0,55.0,65.0,30.0,ミイラ,-,-,ゴースト,-,1.5,0,1,0
673,562,デスマス,Yamask,Makabaja,Tutafeh,데스마스,哭哭面具,哭哭面具,8,ガラルのすがた-,38.0,55.0,85.0,30.0,65.0,30.0,さまようたましい,-,-,じめん,ゴースト,1.5,0,1,0
674,563,デスカーン,Cofagrigus,Echnatoll,Tutankafer,데스니칸,死神棺,死神棺,5,-,58.0,50.0,145.0,95.0,105.0,30.0,ミイラ,-,-,ゴースト,-,76.5,1,1,0
675,564,プロトーガ,Tirtouga,Galapaflos,Carapagos,프로토가,原盖海龟,原蓋海龜,5,-,54.0,78.0,103.0,53.0,45.0,22.0,ハードロック,がんじょう,すいすい,みず,いわ,16.5,0,1,0
676,565,アバゴーラ,Carracosta,Karippas,Mégapagos,늑골라,肋骨海龟,肋骨海龜,5,-,74.0,108.0,133.0,83.0,65.0,32.0,ハードロック,がんじょう,すいすい,みず,いわ,81.0,1,1,0
677,566,アーケン,Archen,Flapteryx,Arkéapti,아켄,始祖小鸟,始祖小鳥,5,-,55.0,112.0,45.0,74.0,45.0,70.0,よわき,-,-,いわ,ひこう,9.5,0,1,0
678,567,アーケオス,Archeops,Aeropteryx,Aéroptéryx,아케오스,始祖大鸟,始祖大鳥,5,-,75.0,140.0,65.0,112.0,65.0,110.0,よわき,-,-,いわ,ひこう,32.0,1,1,0
679,568,ヤブクロン,Trubbish,Unratütox,Miamiasme,깨봉이,破破袋,破破袋,5,-,50.0,50.0,62.0,40.0,62.0,65.0,あくしゅう,ねんちゃく,ゆうばく,どく,-,31.0,0,1,0
680,569,ダストダス,Garbodor,Deponitox,Miasmax,더스트나,灰尘山,灰塵山,5,-,80.0,95.0,82.0,60.0,82.0,75.0,あくしゅう,くだけるよろい,ゆうばく,どく,-,107.3,1,1,0
681,570,ゾロア,Zorua,Zorua,Zorua,조로아,索罗亚,索羅亞,5,-,40.0,65.0,40.0,80.0,40.0,65.0,イリュージョン,-,-,あく,-,12.5,0,1,1
682,570,ゾロア,Zorua,Zorua,Zorua,조로아,索罗亚,索羅亞,9,ヒスイのすがた,40.0,65.0,40.0,80.0,40.0,65.0,イリュージョン,-,-,ノーマル,ゴースト,12.5,0,0,1
683,571,ゾロアーク,Zoroark,Zoroark,Zoroark,조로아크,索罗亚克,索羅亞克,5,-,60.0,105.0,60.0,120.0,60.0,105.0,イリュージョン,-,-,あく,-,81.1,1,1,1
684,571,ゾロアーク,Zoroark,Zoroark,Zoroark,조로아크,索罗亚克,索羅亞克,9,ヒスイのすがた,60.0,105.0,60.0,120.0,60.0,105.0,イリュージョン,-,-,ノーマル,ゴースト,73.0,1,0,1
685,572,チラーミィ,Minccino,Picochilla,Chinchidou,치라미,泡沫栗鼠,泡沫栗鼠,5,-,55.0,50.0,40.0,40.0,40.0,75.0,メロメロボディ,テクニシャン,スキルリンク,ノーマル,-,5.8,0,1,0
686,573,チラチーノ,Cinccino,Chillabell,Pashmilla,치라치노,奇诺栗鼠,奇諾栗鼠,5,-,75.0,95.0,60.0,65.0,60.0,115.0,メロメロボディ,テクニシャン,スキルリンク,ノーマル,-,7.5,1,1,0
687,574,ゴチム,Gothita,Mollimorba,Scrutella,고디탱,哥德宝宝,哥德寶寶,5,-,45.0,30.0,50.0,55.0,65.0,45.0,おみとおし,かちき,かげふみ,エスパー,-,5.8,0,1,1
688,575,ゴチミル,Gothorita,Hypnomorba,Mesmérella,고디보미,哥德小童,哥德小童,5,-,60.0,45.0,70.0,75.0,85.0,55.0,おみとおし,かちき,かげふみ,エスパー,-,18.0,0,1,1
689,576,ゴチルゼル,Gothitelle,Morbitesse,Sidérella,고디모아젤,哥德小姐,哥德小姐,5,-,70.0,55.0,95.0,95.0,110.0,65.0,おみとおし,かちき,かげふみ,エスパー,-,44.0,1,1,1
690,577,ユニラン,Solosis,Monozyto,Nucléos,유니란,单卵细胞球,單卵細胞球,5,-,45.0,30.0,40.0,105.0,50.0,20.0,ぼうじん,マジックガード,さいせいりょく,エスパー,-,1.0,0,1,0
691,578,ダブラン,Duosion,Mitodos,Méios,듀란,双卵细胞球,雙卵細胞球,5,-,65.0,40.0,50.0,125.0,60.0,30.0,ぼうじん,マジックガード,さいせいりょく,エスパー,-,8.0,0,1,0
692,579,ランクルス,Reuniclus,Zytomega,Symbios,란쿨루스,人造细胞卵,人造細胞卵,5,-,110.0,65.0,75.0,125.0,85.0,30.0,ぼうじん,マジックガード,さいせいりょく,エスパー,-,20.1,1,1,0
693,580,コアルヒー,Ducklett,Piccolente,Couaneton,꼬지보리,鸭宝宝,鴨寶寶,5,-,62.0,44.0,50.0,44.0,50.0,55.0,するどいめ,はとむね,うるおいボディ,みず,ひこう,5.5,0,0,0
694,581,スワンナ,Swanna,Swaroness,Lakmécygne,스완나,舞天鹅,舞天鵝,5,-,75.0,87.0,63.0,87.0,63.0,98.0,するどいめ,はとむね,うるおいボディ,みず,ひこう,24.2,1,0,0
695,582,バニプッチ,Vanillite,Gelatini,Sorbébé,바닐프티,迷你冰,迷你冰,5,-,36.0,50.0,50.0,65.0,60.0,44.0,アイスボディ,ゆきがくれ,くだけるよろい,こおり,-,5.7,0,1,0
696,583,バニリッチ,Vanillish,Gelatroppo,Sorboul,바닐리치,多多冰,多多冰,5,-,51.0,65.0,65.0,80.0,75.0,59.0,アイスボディ,ゆきがくれ,くだけるよろい,こおり,-,41.0,0,1,0
697,584,バイバニラ,Vanilluxe,Gelatwino,Sorbouboul,배바닐라,双倍多多冰,雙倍多多冰,5,-,71.0,95.0,85.0,110.0,95.0,79.0,アイスボディ,ゆきがくれ,くだけるよろい,こおり,-,57.5,1,1,0
698,585,シキジカ,Deerling,Sesokitz,Vivaldaim,사철록,四季鹿,四季鹿,5,-,60.0,60.0,50.0,40.0,50.0,75.0,ようりょくそ,そうしょく,てんのめぐみ,ノーマル,くさ,19.5,0,0,1
699,586,メブキジカ,Sawsbuck,Kronjuwild,Haydaim,바라철록,萌芽鹿,萌芽鹿,5,-,80.0,100.0,70.0,60.0,70.0,95.0,ようりょくそ,そうしょく,てんのめぐみ,ノーマル,くさ,92.5,1,0,1
700,587,エモンガ,Emolga,Emolga,Emolga,에몽가,电飞鼠,電飛鼠,5,-,55.0,75.0,60.0,75.0,60.0,103.0,せいでんき,-,でんきエンジン,でんき,ひこう,5.0,1,1,0
701,588,カブルモ,Karrablast,Laukaps,Carabing,딱정곤,盖盖虫,蓋蓋蟲,5,-,50.0,75.0,45.0,40.0,45.0,60.0,むしのしらせ,だっぴ,ノーガード,むし,-,5.9,0,1,0
702,589,シュバルゴ,Escavalier,Cavalanzas,Lançargot,슈바르고,骑士蜗牛,騎士蝸牛,5,-,70.0,135.0,105.0,60.0,105.0,20.0,むしのしらせ,シェルアーマー,ぼうじん,むし,はがね,33.0,1,1,0
703,590,タマゲタケ,Foongus,Tarnpignon,Trompignon,깜놀버슬,哎呀球菇,哎呀球菇,5,-,69.0,55.0,45.0,55.0,55.0,15.0,ほうし,-,さいせいりょく,くさ,どく,1.0,0,1,1
704,591,モロバレル,Amoonguss,Hutsassa,Gaulet,뽀록나,败露球菇,敗露球菇,5,-,114.0,85.0,70.0,85.0,80.0,30.0,ほうし,-,さいせいりょく,くさ,どく,10.5,1,1,1
705,592,プルリル,Frillish,Quabbel,Viskuse,탱그릴,轻飘飘,輕飄飄,5,-,55.0,40.0,50.0,65.0,85.0,40.0,ちょすい,のろわれボディ,しめりけ,みず,ゴースト,33.0,0,1,0
706,593,ブルンゲル,Jellicent,Apoquallyp,Moyade,탱탱겔,胖嘟嘟,胖嘟嘟,5,-,100.0,60.0,70.0,85.0,105.0,60.0,ちょすい,のろわれボディ,しめりけ,みず,ゴースト,135.0,1,1,0
707,594,ママンボウ,Alomomola,Mamolida,Mamanbo,맘복치,保姆曼波,保母曼波,5,-,165.0,75.0,80.0,40.0,45.0,65.0,いやしのこころ,うるおいボディ,さいせいりょく,みず,-,31.6,1,0,0
708,595,バチュル,Joltik,Wattzapf,Statitik,피쪼옥,电电虫,電電蟲,5,-,50.0,47.0,50.0,57.0,50.0,65.0,ふくがん,きんちょうかん,むしのしらせ,むし,でんき,0.6,0,1,0
709,596,デンチュラ,Galvantula,Voltula,Mygavolt,전툴라,电蜘蛛,電蜘蛛,5,-,70.0,77.0,60.0,97.0,60.0,108.0,ふくがん,きんちょうかん,むしのしらせ,むし,でんき,14.3,1,1,0
710,597,テッシード,Ferroseed,Kastadur,Grindur,철시드,种子铁球,種子鐵球,5,-,44.0,50.0,91.0,24.0,86.0,10.0,てつのトゲ,てつのトゲ,-,くさ,はがね,18.8,0,1,0
711,598,ナットレイ,Ferrothorn,Tentantel,Noacier,너트령,坚果哑铃,堅果啞鈴,5,-,74.0,94.0,131.0,54.0,116.0,20.0,てつのトゲ,きけんよち,-,くさ,はがね,110.0,1,1,0
712,599,ギアル,Klink,Klikk,Tic,기어르,齿轮儿,齒輪兒,5,-,40.0,55.0,70.0,45.0,60.0,30.0,プラス,マイナス,クリアボディ,はがね,-,21.0,0,1,0
713,600,ギギアル,Klang,Kliklak,Clic,기기어르,齿轮组,齒輪組,5,-,60.0,80.0,95.0,70.0,85.0,50.0,プラス,マイナス,クリアボディ,はがね,-,51.0,0,1,0
714,601,ギギギアル,Klinklang,Klikdiklak,Cliticlic,기기기어르,齿轮怪,齒輪怪,5,-,60.0,100.0,115.0,70.0,85.0,90.0,プラス,マイナス,クリアボディ,はがね,-,81.0,1,1,0
715,602,シビシラス,Tynamo,Zapplardin,Anchwatt,저리어,麻麻小鱼,麻麻小魚,5,-,35.0,55.0,40.0,45.0,40.0,60.0,ふゆう,-,-,でんき,-,0.3,0,0,1
716,603,シビビール,Eelektrik,Zapplalek,Lampéroie,저리릴,麻麻鳗,麻麻鰻,5,-,65.0,85.0,70.0,75.0,70.0,40.0,ふゆう,-,-,でんき,-,22.0,0,0,1
717,604,シビルドン,Eelektross,Zapplarang,Ohmassacre,저리더프,麻麻鳗鱼王,麻麻鰻魚王,5,-,85.0,115.0,80.0,105.0,80.0,50.0,ふゆう,-,-,でんき,-,80.5,1,0,1
718,605,リグレー,Elgyem,Pygraulon,Lewsor,리그레,小灰怪,小灰怪,5,-,55.0,55.0,55.0,85.0,55.0,30.0,テレパシー,シンクロ,アナライズ,エスパー,-,9.0,0,1,0
719,606,オーベム,Beheeyem,Megalon,Neitram,벰크,大宇怪,大宇怪,5,-,75.0,75.0,75.0,125.0,95.0,40.0,テレパシー,シンクロ,アナライズ,エスパー,-,34.5,1,1,0
720,607,ヒトモシ,Litwick,Lichtel,Funécire,불켜미,烛光灵,燭光靈,5,-,50.0,30.0,55.0,65.0,55.0,20.0,もらいび,ほのおのからだ,すりぬけ,ゴースト,ほのお,3.1,0,1,0
721,608,ランプラー,Lampent,Laternecto,Mélancolux,램프라,灯火幽灵,燈火幽靈,5,-,60.0,40.0,60.0,95.0,60.0,55.0,もらいび,ほのおのからだ,すりぬけ,ゴースト,ほのお,13.0,0,1,0
722,609,シャンデラ,Chandelure,Skelabra,Lugulabre,샹델라,水晶灯火灵,水晶燈火靈,5,-,60.0,55.0,90.0,145.0,90.0,80.0,もらいび,ほのおのからだ,すりぬけ,ゴースト,ほのお,34.3,1,1,0
723,610,キバゴ,Axew,Milza,Coupenotte,터검니,牙牙,牙牙,5,-,46.0,87.0,60.0,30.0,40.0,57.0,とうそうしん,かたやぶり,きんちょうかん,ドラゴン,-,18.0,0,1,1
724,611,オノンド,Fraxure,Sharfax,Incisache,액슨도,斧牙龙,斧牙龍,5,-,66.0,117.0,70.0,40.0,50.0,67.0,とうそうしん,かたやぶり,きんちょうかん,ドラゴン,-,36.0,0,1,1
725,612,オノノクス,Haxorus,Maxax,Tranchodon,액스라이즈,双斧战龙,雙斧戰龍,5,-,76.0,147.0,90.0,60.0,70.0,97.0,とうそうしん,かたやぶり,きんちょうかん,ドラゴン,-,105.5,1,1,1
726,613,クマシュン,Cubchoo,Petznief,Polarhume,코고미,喷嚏熊,噴嚏熊,5,-,55.0,70.0,40.0,60.0,40.0,40.0,ゆきがくれ,ゆきかき,びびり,こおり,-,8.5,0,1,1
727,614,ツンベアー,Beartic,Siberio,Polagriffe,툰베어,冻原熊,凍原熊,5,-,95.0,130.0,80.0,70.0,80.0,50.0,ゆきがくれ,ゆきかき,すいすい,こおり,-,260.0,1,1,1
728,615,フリージオ,Cryogonal,Frigometri,Hexagel,프리지오,几何雪花,幾何雪花,5,-,80.0,50.0,50.0,95.0,135.0,105.0,ふゆう,-,-,こおり,-,148.0,1,1,1
729,616,チョボマキ,Shelmet,Schnuthelm,Escargaume,쪼마리,小嘴蜗,小嘴蝸,5,-,50.0,40.0,85.0,40.0,65.0,25.0,うるおいボディ,シェルアーマー,ぼうじん,むし,-,7.7,0,1,0
730,617,アギルダー,Accelgor,Hydragil,Limaspeed,어지리더,敏捷虫,敏捷蟲,5,-,80.0,70.0,40.0,100.0,60.0,145.0,うるおいボディ,ねんちゃく,かるわざ,むし,-,25.3,1,1,0
731,618,マッギョ,Stunfisk,Flunschlik,Limonde,메더,泥巴鱼,泥巴魚,5,-,109.0,66.0,84.0,81.0,99.0,32.0,せいでんき,じゅうなん,すながくれ,じめん,でんき,11.0,1,1,0
732,618,マッギョ,Stunfisk,Flunschlik,Limonde,메더,泥巴鱼,泥巴魚,8,ガラルのすがた,109.0,81.0,99.0,66.0,84.0,32.0,せいでんき,じゅうなん,すながくれ,じめん,でんき,11.0,1,1,0
733,619,コジョフー,Mienfoo,Lin-Fu,Kungfouine,비조푸,功夫鼬,功夫鼬,5,-,45.0,85.0,50.0,55.0,50.0,65.0,せいしんりょく,さいせいりょく,すてみ,かくとう,-,20.0,0,1,0
734,620,コジョンド,Mienshao,Wie-Shu,Shaofouine,비조도,师父鼬,師父鼬,5,-,65.0,125.0,60.0,95.0,60.0,105.0,せいしんりょく,さいせいりょく,すてみ,かくとう,-,35.5,1,1,0
735,621,クリムガン,Druddigon,Shardrago,Drakkarmin,크리만,赤面龙,赤面龍,5,-,77.0,120.0,90.0,60.0,90.0,48.0,さめはだ,ちからずく,かたやぶり,ドラゴン,-,139.0,1,1,0
736,622,ゴビット,Golett,Golbit,Gringolem,골비람,泥偶小人,泥偶小人,5,-,59.0,74.0,50.0,35.0,50.0,35.0,てつのこぶし,ぶきよう,ノーガード,じめん,ゴースト,92.0,0,1,0
737,623,ゴルーグ,Golurk,Golgantes,Golemastoc,골루그,泥偶巨人,泥偶巨人,5,-,89.0,124.0,80.0,55.0,80.0,55.0,てつのこぶし,ぶきよう,ノーガード,じめん,ゴースト,330.0,1,1,0
738,624,コマタナ,Pawniard,Gladiantri,Scalpion,자망칼,驹刀小兵,駒刀小兵,5,-,45.0,85.0,70.0,40.0,40.0,60.0,まけんき,せいしんりょく,プレッシャー,あく,はがね,10.2,0,1,1
739,625,キリキザン,Bisharp,Caesurio,Scalproie,절각참,劈斩司令,劈斬司令,5,-,65.0,125.0,100.0,60.0,70.0,70.0,まけんき,せいしんりょく,プレッシャー,あく,はがね,70.0,0,1,1
740,626,バッフロン,Bouffalant,Bisofank,Frison,버프론,爆炸头水牛,爆炸頭水牛,5,-,95.0,110.0,95.0,40.0,95.0,55.0,すてみ,そうしょく,ぼうおん,ノーマル,-,94.6,1,1,0
741,627,ワシボン,Rufflet,Geronimatz,Furaiglon,수리둥보,毛头小鹰,毛頭小鷹,5,-,70.0,83.0,50.0,37.0,50.0,60.0,するどいめ,ちからずく,はりきり,ノーマル,ひこう,10.5,0,1,1
742,628,ウォーグル,Braviary,Washakwil,Gueriaigle,워글,勇士雄鹰,勇士雄鷹,5,-,100.0,123.0,75.0,57.0,75.0,80.0,するどいめ,ちからずく,まけんき,ノーマル,ひこう,41.0,1,1,1
743,628,ウォーグル,Braviary,Washakwil,Gueriaigle,워글,勇士雄鹰,勇士雄鷹,9,ヒスイのすがた,110.0,83.0,70.0,112.0,70.0,65.0,するどいめ,ちからずく,いろめがね,エスパー,ひこう,43.4,1,0,1
744,629,バルチャイ,Vullaby,Skallyk,Vostourno,벌차이,秃鹰丫头,禿鷹丫頭,5,-,70.0,55.0,75.0,45.0,65.0,60.0,はとむね,ぼうじん,くだけるよろい,あく,ひこう,9.0,0,1,0
745,630,バルジーナ,Mandibuzz,Grypheldis,Vaututrice,버랜지나,秃鹰娜,禿鷹娜,5,-,110.0,65.0,105.0,55.0,95.0,80.0,はとむね,ぼうじん,くだけるよろい,あく,ひこう,39.5,1,1,0
746,631,クイタラン,Heatmor,Furnifraß,Aflamanoir,앤티골,熔蚁兽,熔蟻獸,5,-,85.0,97.0,66.0,105.0,66.0,65.0,くいしんぼう,もらいび,しろいけむり,ほのお,-,58.0,1,1,0
747,632,アイアント,Durant,Fermicula,Fermite,아이앤트,铁蚁,鐵蟻,5,-,58.0,109.0,112.0,48.0,48.0,109.0,むしのしらせ,はりきり,なまけ,むし,はがね,33.0,1,1,0
748,633,モノズ,Deino,Kapuno,Solochi,모노두,单首龙,單首龍,5,-,52.0,65.0,50.0,45.0,50.0,38.0,はりきり,-,-,あく,ドラゴン,17.3,0,1,1
749,634,ジヘッド,Zweilous,Duodino,Diamat,디헤드,双首暴龙,雙首暴龍,5,-,72.0,85.0,70.0,65.0,70.0,58.0,はりきり,-,-,あく,ドラゴン,50.0,0,1,1
750,635,サザンドラ,Hydreigon,Trikephalo,Trioxhydre,삼삼드래,三首恶龙,三首惡龍,5,-,92.0,105.0,90.0,125.0,90.0,98.0,ふゆう,-,-,あく,ドラゴン,160.0,1,1,1
